James Bond,51.25,
Student,"IP3,
    Points Possible,100.00,
John Doe,78.00,
Jane Doe,67.75,
Goro Azuma,76.25,
Jim Smith,43.00,
Thomas Hall,94.00,
Trevor Cickovski,55.25,
Michael Floyd,88.00,
Golden Tate,97.00,
Jimmy Clausen,63.00,
Mark Rosenberg,79.00,
Emma Stone,79.00,
Pusheen TheCat,54.00,
Linus Torvalds,41.75,
Microsoft Windows,0.00,
Alan Turing,80.00,
Neil Peart,75.50,
Larry Mullen Jr,30.00,
Pete Carroll,89.25,
Zack Morris,0.00,
Oscar The Grouch,65.25,
Karl Marx,73.25,
James Bond,51.25,
Student,"IP3,
    Points Possible,100.00,
John Doe,78.00,
Jane Doe,67.75,
Goro Azuma,76.25,
Jim Smith,43.00,
Thomas Hall,94.00,
Trevor Cickovski,55.25,
Michael Floyd,88.00,
Golden Tate,97.00,
Jimmy Clausen,63.00,
Mark Rosenberg,79.00,
Emma Stone,79.00,
Pusheen TheCat,54.00,
Linus Torvalds,41.75,
Microsoft Windows,0.00,
Alan Turing,80.00,
Neil Peart,75.50,
Larry Mullen Jr,30.00,
Pete Carroll,89.25,
Zack Morris,0.00,
Oscar The Grouch,65.25,
Karl Marx,73.25,
James Bond,51.25,
