"First name",Surname,"ID number",Institution,Department,"Email address","Assignment: Assignment 1 (Text or Audio) (Real)","Quiz: Fun quiz: How's your Social media? (Real)","Assignment: Assignment 2 (Upload) (Real)","SCORM package: Forum netiquette (Real)","Lesson: FOBO? Let us help you cure it! (Real)","Workshop: Workshop: Transmediation (submission) (Real)","Workshop: Workshop: Transmediation (assessment) (Real)","Course total (Real)","Last downloaded from this course"
Frances,Banks,SS007,,,francesbanks231@example.com,75.00,10.00,90.00,1.00,100.00,80.00,20.00,376.00,1601379599
Mark,Ellis,SS003,,,markellis267@example.com,80.00,9.90,70.00,1.00,90.00,80.00,20.00,350.90,1601379599
Brian,Franklin,SS004,,,brianfrankli228@example.com,90.00,9.60,60.00,1.00,96.00,70.00,20.00,346.60,1601379599
Barbara,Gardner,MS010,,,barbaragardner249@example.com,56.50,10.00,40.00,1.00,94.00,60.00,20.00,281.50,1601379599
Amanda,Hamilton,SS010,,,amandahamilto205@example.com,30.00,7.00,80.00,1.00,65.00,50.00,20.00,253.00,1601379599
Joshua,Knight,SS005,,,joshuaknight196@example.com,97.30,8.00,100.00,1.00,88.00,40.00,20.00,354.30,1601379599
George,Lopez,SS001,,,georgelopez271@example.com,92.10,8.25,72.20,1.00,92.00,30.00,20.00,315.55,1601379599
Susan,Medina,,,,susanmedina293@example.com,46.00,7.20,96.60,1.00,79.00,20.00,20.00,269.80,1601379599
Donna,Taylor,SS009,,,donnataylor203@example.com,75.80,6.00,93.40,1.00,89.00,10.00,20.00,295.20,1601379599
Gary,Vasquez,SS008,,,garyvasquez366@example.com,86.30,9.00,98.00,0.50,88.00,10.00,20.00,311.80,1601379599
