"First name",Surname,"ID number",Institution,Department,"Email address","Assignment: From Concept to Reality: Trauma and Film (Real)","Forum: Course discussion (Real)","Analysis total (Real)","Assignment: Group Project (Real)","Collaborative total (Real)","Quiz: Factual recall test (Real)","Assignment: Dissertation: Fight club (Real)","Assignment: Dissertation: A Beautiful Mind (Real)","Assignment: Dissertation: Spider (Real)","F2F Session (Real)","Class presentation (Real)","Assignment: Reflective journal (Real)","Assignment: Commitment (Real)","Assignment: Participation (Real)","Individual total (Real)","Screening 1 (Real)","Screening 2 (Real)","Screening 3 (Real)","Quiz: Grammar help with your essays (Real)","Course total (Real)","Last downloaded from this course"
Frances,Banks,SS007,,,francesbanks231@example.com,64.00,"Excellent point",99.80,70.00,70.00,6.00,90.00,77.00,88.00,Good,75.00,8.00,Partial,Full,344.00,Absent,Present,Present,10.00,523.80,1601382092
Mark,Ellis,SS003,,,markellis267@example.com,55.00,"Fair point",53.92,88.00,88.00,7.00,60.00,88.00,76.00,Good,65.00,5.00,Inadequate,Partial,301.00,Absent,Present,Present,10.00,452.92,1601382092
Brian,Franklin,SS004,,,brianfrankli228@example.com,90.00,"Good point",64.23,77.00,77.00,8.00,58.00,99.00,90.00,Outstanding,85.00,10.00,Full,Full,350.00,Present,Present,Present,10.00,501.23,1601382092
Barbara,Gardner,MS010,,,barbaragardner249@example.com,92.00,-,94.40,99.00,99.00,7.00,76.00,44.00,69.00,-,80.00,10.00,-,-,286.00,Present,Absent,Present,10.00,489.40,1601382092
Amanda,Hamilton,SS010,,,amandahamilto205@example.com,95.00,"Fair point",93.14,95.00,95.00,7.00,58.00,66.00,90.00,Outstanding,85.00,8.00,Full,Full,314.00,Present,Present,Present,10.00,512.14,1601382092
Joshua,Knight,SS005,,,joshuaknight196@example.com,74.00,-,67.17,76.00,76.00,7.00,78.00,55.00,97.00,Satisfactory,65.00,5.00,Partial,Partial,307.00,Present,Present,Absent,10.00,460.17,1601382092
George,Lopez,SS001,,,georgelopez271@example.com,75.00,"Good point",74.51,82.00,82.00,5.00,43.00,88.00,96.00,Satisfactory,70.00,5.00,Inadequate,Partial,307.00,Present,-,Absent,10.00,473.51,1601382092
Anthony,Ramirez,SS002,,,anthonyramirez359@example.com,23.00,-,86.16,83.00,83.00,5.00,56.00,66.00,74.00,Satisfactory,70.00,3.00,-,-,274.00,Present,-,Present,10.00,453.16,1601382092
Donna,Taylor,SS009,,,donnataylor203@example.com,32.00,"Fair point",0.00,84.00,84.00,3.00,88.00,88.00,88.00,Satisfactory,60.00,7.00,Partial,Partial,334.00,Present,Present,Absent,10.00,428.00,1601382092
Brenda,Vasquez,SS006,,,brendavasquez355@example.com,65.00,"Excellent point",65.69,64.00,64.00,10.00,97.00,99.00,83.00,Good,65.00,4.00,-,-,358.00,Absent,Present,Present,10.00,497.69,1601382092
Gary,Vasquez,SS008,,,garyvasquez366@example.com,75.00,"Excellent point",75.49,70.00,70.00,7.00,95.00,76.00,22.00,Good,70.00,8.00,-,-,278.00,Present,Absent,Present,10.00,433.49,1601382092
