Last name,First name,Primary email,School email,Student ID,Total (175),Participation total (159),Challenge total (16),Lab total (0),6.8 - Participation (10),6.9 - Participation (10),6.10 - Participation (13),6.11 - Participation (28),6.12 - Participation (28),6.13 - Participation (30),6.14 - Participation (30),6.15 - Participation (10),6.8 - Challenge (2),6.9 - Challenge (1),6.10 - Challenge (0),6.11 - Challenge (0),6.12 - Challenge (10),6.13 - Challenge (0),6.14 - Challenge (0),6.15 - Challenge (3)
Doe,John,jdoe001@fiu.edu,jdoe001@fiu.edu,1234567,97.14,100.0,68.75,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,50.0,N/A,N/A,100.0
Doe,Jane,jdoe002@fiu.edu,jdoe002@fiu.edu,2345678,6.86,7.55,0.0,0,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Azuma,Goro,gazum001@fiu.edu,gazum001@fiu.edu,3456789,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Smith,Jim,jsmit964@fiu.edu,jsmit964@fiu.edu,4567890,99.43,99.37,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,96.67,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,100.0
Hall,Thomas,thall025@fiu.edu,thall025@fiu.edu,5678901,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,100.0
Cickovski,Trevor,tcickovs@fiu.edu,tcickovs@fiu.edu,6789012,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Floyd,Michael,mfloy235@fiu.edu,mfloy235@fiu.edu,7890123,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Tate,Golden,gtate074@fiu.edu,gtate074@fiu.edu,8901234,90.86,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Clausen,Jimmy,jclau003@fiu.edu,jclau003@fiu.edu,9012345,90.86,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Rosenberg,Mark,mrose005@fiu.edu,mrose005@fiu.edu,9876543,91.43,100.0,6.25,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,N/A,N/A,0.0,N/A,N/A,0.0
Stone,Emma,eston794@fiu.edu,eston794@fiu.edu,8765432,92.57,93.71,81.25,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,0.0
TheCat,Pusheen,pusheen@fiu.edu,pusheen@fiu.edu,7654321,98.29,100.0,81.25,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,0.0
Torvalds,Linus,ltorv001@fiu.edu,ltorv001@fiu.edu,6543210,72.57,77.99,18.75,0,100.0,100.0,100.0,100.0,67.86,53.33,60.0,100.0,100.0,100.0,N/A,N/A,0.0,N/A,N/A,0.0
Windows,Microsoft,windoze@fiu.edu,windoze@fiu.edu,5432109,5.14,5.66,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Turing,Alan,aturi001@fiu.edu,aturi001@fiu.edu,4321098,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,100.0
Peart,Neil,npear005@fiu.edu,npear005@fiu.edu,3210987,84.57,93.08,0.0,0,100.0,100.0,100.0,100.0,100.0,96.67,100.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Mullen Jr,Larry,lmull001@fiu.edu,lmull001@fiu.edu,2109876,90.29,98.74,6.25,0,100.0,100.0,100.0,100.0,100.0,96.67,100.0,90.0,0.0,100.0,N/A,N/A,0.0,N/A,N/A,0.0
Carroll,Pete,carroll@fiu.edu,carroll@fiu.edu,1098765,96.0,95.6,100.0,0,100.0,100.0,100.0,82.14,92.86,100.0,100.0,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,100.0
Morris,Zack,zmorr193@fiu.edu,zmorr193@fiu.edu,0987654,0.57,0.63,0.0,0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
The Grouch,Oscar,groucho@fiu.edu,groucho@fiu.edu,1357924,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
Marx,Karl,marxist@fiu.edu,marxist@fiu.edu,3579246,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,100.0,N/A,N/A,100.0
Bond,James,jbond007@fiu.edu,jbond007@fiu.edu,5792468,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.0
