Last name,First name,Primary email,School email,Student ID,Total (85),Participation total (81),Challenge total (4),Lab total (0),6.16 - Participation (19),6.17 - Participation (5),6.18 - Participation (13),6.19 - Participation (26),6.20 - Participation (18),6.16 - Challenge (0),6.17 - Challenge (0),6.18 - Challenge (0),6.19 - Challenge (4),6.20 - Challenge (0)
Doe,John,jdoe001@fiu.edu,jdoe001@fiu.edu,1234567,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,100.0,N/A
Doe,Jane,jdoe002@fiu.edu,jdoe002@fiu.edu,2345678,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Azuma,Goro,gazum001@fiu.edu,gazum001@fiu.edu,3456789,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Smith,Jim,jsmit964@fiu.edu,jsmit964@fiu.edu,4567890,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Hall,Thomas,thall025@fiu.edu,thall025@fiu.edu,5678901,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Cickovski,Trevor,tcickovs@fiu.edu,tcickovs@fiu.edu,6789012,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Floyd,Michael,mfloy235@fiu.edu,mfloy235@fiu.edu,7890123,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Tate,Golden,gtate074@fiu.edu,gtate074@fiu.edu,8901234,95.29,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,0.0,N/A
Clausen,Jimmy,jclau003@fiu.edu,jclau003@fiu.edu,9012345,95.29,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,0.0,N/A
Rosenberg,Mark,mrose005@fiu.edu,mrose005@fiu.edu,9876543,95.29,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,0.0,N/A
Stone,Emma,eston794@fiu.edu,eston794@fiu.edu,8765432,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
TheCat,Pusheen,pusheen@fiu.edu,pusheen@fiu.edu,7654321,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Torvalds,Linus,ltorv001@fiu.edu,ltorv001@fiu.edu,6543210,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Windows,Microsoft,windoze@fiu.edu,windoze@fiu.edu,5432109,1.18,1.23,0.0,0,0.0,0.0,7.69,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Turing,Alan,aturi001@fiu.edu,aturi001@fiu.edu,4321098,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,100.0,N/A
Peart,Neil,npear005@fiu.edu,npear005@fiu.edu,3210987,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Mullen Jr,Larry,lmull001@fiu.edu,lmull001@fiu.edu,2109876,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Carroll,Pete,carroll@fiu.edu,carroll@fiu.edu,1098765,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Morris,Zack,zmorr193@fiu.edu,zmorr193@fiu.edu,0987654,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
The Grouch,Oscar,groucho@fiu.edu,groucho@fiu.edu,1357924,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
Marx,Karl,marxist@fiu.edu,marxist@fiu.edu,3579246,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,N/A,N/A,N/A,100.0,N/A
Bond,James,jbond007@fiu.edu,jbond007@fiu.edu,5792468,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0.0,N/A
